Model No,Brand,Control,Prog Name,Type,New CEC,New Star
JS 2510 AH,ALPINE,Non Ducted,Single Split System,Wall Hung,0.8,0
JS 3210 AH,ALPINE,Non Ducted,Single Split System,Wall Hung,1.1,0
JS 5010 AH,ALPINE,Non Ducted,Single Split System,Wall Hung,1.75,0
JS 7017 AH,ALPINE,Non Ducted,Single Split System,Wall Hung,2.35,0
KFR-25GW,ALPINE,Non Ducted,Single Split System,,0.9,0
KFR-35GW,ALPINE,Non Ducted,Single Split System,,1.25,0
KFR-50GW,ALPINE,Non Ducted,Single Split System,,1.85,0
KFR-60GW,ALPINE,Non Ducted,Single Split System,,2.2,0
KFR-60GW,ALPINE,Non Ducted,Single Split System,Wall Hung,2.18,0
KFR-70GW,ALPINE,Non Ducted,Single Split System,,2.6,0
TAC-09CHS,ALPINE,Non Ducted,Single Split System,,0.9,0
TAC-12CHS,ALPINE,Non Ducted,Single Split System,,1.2,0
TAC-18CHS,ALPINE,Non Ducted,Single Split System,,2.1,0
TAC-24CHS,ALPINE,Non Ducted,Single Split System,,2.64,0
